P01T02,220,254
P01T03,215,282
P01T04,175,241
P01T05,141,201
P01T06,287,387
P01T08,197,257
P01T09,191,255
P01T10,189,272
P01T12,125,189
P01T13,165,244
P01T15,184,280
P01T16,147,198
P01T17,191,240
P01T18,113,168
P01T19,197,238
P01T20,230,296
P01T21,200,290
P01T22,211,248
P02T03,167,232
P02T04,135,206
P02T05,114,185
P02T07,120,199
P02T08,147,248
P02T09,159,266
P02T10,175,234
P02T11,152,212
P02T12,158,237
P02T14,158,202
P02T15,115,207
P02T17,162,224
P02T18,190,256
P02T19,170,250
P02T21,197,290
P02T22,143,211
P02T23,171,238
P03T02,284,412
P03T05,205,313
P03T07,275,478
P03T09,224,394
P03T10,87,444
P03T12,260,373
P03T13,247,322
P03T14,231,435
P03T15,220,444
P03T16,261,387
P03T18,235,457
P03T19,254,506
P03T21,231,446
P03T23,242,479
P03T25,225,312
P03T26,223,398
P03T27,283,311
P03T28,238,376
P04T03,187,555
P04T04,205,488
P04T05,202,316
P04T06,180,242
P04T07,194,425
P04T10,195,371
P04T11,223,330
P04T12,201,356
P04T13,200,358
P04T14,177,401
P04T15,187,416
P04T16,210,344
P04T17,186,457
P04T18,195,284
P04T19,196,366
P04T21,183,279
P04T22,136,266
P04T23,200,446
P04T24,393,623
P05T04,246,346
P05T13,261,326
P05T14,338,395
P05T16,376,454
P05T17,213,314
P05T18,293,382
P05T21,478,544
P05T22,237,302
P05T26,208,300
P05T31,327,430
P05T32,320,424
P06T02,332,386
P06T03,265,341
P06T05,298,347
P06T06,226,288
P06T08,269,333
P06T09,224,302
P06T10,239,305
P06T11,247,319
P06T14,253,324
P06T15,227,298
P06T16,244,317
P06T17,262,343
P06T24,298,361
P06T25,263,333
P07T02,196,280
P07T04,172,403
P07T06,211,413
P07T07,214,234
P07T09,195,367
P07T10,322,416
P07T11,282,855
P07T12,216,738
P07T15,206,499
P07T16,194,352
P07T17,202,323
P07T18,290,652
P07T19,239,442
P07T20,234,570
P07T23,191,426
P07T24,231,375
P07T25,190,410
